MINISTRY,DEPARTMENT,PRIORITY VACANT POSTS,POST NUMBER,SALARY SCALE,ANNUAL SALARY,RECRUITMENT STATUS,,,,,,,,,,Status 
MALFB,DoL ,Livestock Support Officer-Abwantuntora ,7749,PS 4.1 ,1195500,Unknown Status,,,,,,,,,,
MALFB,DoL ,Small Livestock Nursery Off-Saratamata ,7763,PS 3.1 ,1001300,Unknown Status,,,,,,,,,,
MALFB,DARD ,Principal Admin & Finance Officer ,7811,PSS 6.1 ,2577000,Unknown Status,,,,,,,,,,
MALFB,DARD ,Receptionist  ,7999,PSS 2.1 ,1015000,Unknown Status,,,,,,,,,,
MALFB,DARD ,Driver - North ,8000,PSS 1.1 ,652000,Unknown Status,,,,,,,,,,
MALFB,DARD ,Root Crop Specialist ,7825,PST 3.1 ,2510000,Unknown Status,,,,,,,,,,
MALFB,DARD ,Coconut Officer ,7869,PSS 5.1 ,198900,Unknown Status,,,,,,,,,,
MALFB,DARD ,Root CroPSOfficer ,7872,PSS 5.1 ,198900,Unknown Status,,,,,,,,,,
MALFB,DARD ,Permit Officer  ,7874,PSS 4.1 ,1400000,Unknown Status,,,,,,,,,,
MALFB,DARD ,Data Clerk ,7944,PSS 3.1 ,1209000,Unknown Status,,,,,,,,,,
MALFB,DARD ,PADO Penama ,7828,PST 3.1 ,2510000,Unknown Status,,,,,,,,,,
MALFB,DARD ,SADO - Santo ,7849,PSS 5.1 ,1989000,Unknown Status,,,,,,,,,,
MALFB,DARD ,SADO - Banks ,7847,PSS 5.1 ,1989000,Unknown Status,,,,,,,,,,
MALFB,DARD ,Principal Commercial & Agriculture Officer ,7808,PSS 6.1 ,2577000,Unknown Status,,,,,,,,,,
MALFB,DARD ,Principal Policy and Planning Officer ,7807,PSS 6.1 ,2577000,Unknown Status,,,,,,,,,,
MALFB,DARD ,Senior Data & Monitoring Officer ,7830,PSS 5.1 ,1989000,Unknown Status,,,,,,,,,,
MALFB,DARD ,Senior Agriculture Economist ,7831,PSS 5.1 ,1989000,Unknown Status,,,,,,,,,,
MALFB,DARD ,Permit Officer ,7875,PSS 4.1 ,1400000,Unknown Status,,,,,,,,,,
MFAICET,Foreign Affairs ,Head Asia Pacific Division ,,PSL 5.1,3397000,Recruitment Process,,,,,,,,,,
MFAICET,Foreign Affairs ,Senior Protocol and Consular Officer ,,PSS 5.1,1989000,Recruitment Process,,,,,,,,,,
MFAICET,Foreign Affairs ,Senior Desk Officer ,,PsS 5.1,1989000,Recruitment Process,,,,,,,,,,
MFAICET,Foreign Affairs ,Senior Desk Officer ,,PsS 5.1,1989000,Recruitment Process,,,,,,,,,,
MFAICET,Foreign Affairs ,Desk Officer ,,PsS 4.1,1400000,Recruitment Process,,,,,,,,,,
MFOMA,Fisheries Department ,Manager Compliance & Enforcement ,48007202,PSL 4.1,2893000,Vacant ,,,,,,,,,,
MFOMA,Fisheries Department ,Manager Development and Capture,48007203,PSL 4.1,2893000,Vacant ,,,,,,,,,,
MFOMA,Fisheries Department ,Principal Development Officer-South ,48007209,PSS 5.1,1989000,Vacant ,,,,,,,,,,
MFOMA,Fisheries Department ,Aquaculture Officer-South ,48007224,PSS 4.1,1400000,Vacant ,,,,,,,,,,
MFOMA,Fisheries Department ,Aquaculture Officer-North ,48007225,PSS 4.1,1400000,Vacant ,,,,,,,,,,
MFOMA,Fisheries Department ,Finance & Admin Officer Santo ,48007232,PSS 4.1,1400000,Vacant ,,,,,,,,,,
MFOMA,Fisheries Department ,Fisheries Development Officer Sanma ,48007233,PSS 4.1,1400000,Vacant ,,,,,,,,,,
MFOMA,Fisheries Department ,Skipper/Engineer ,48007236,PSS 3.1,1209000,Vacant ,,,,,,,,,,
MFOMA,Fisheries Department ,Observer Port Sampler ,48007237,PSS 2.1,1015000,Vacant ,,,,,,,,,,
MFOMA,Fisheries Department ,Observer Debriefer 1,48007238,PSS 2.9,1187000,Vacant ,,,,,,,,,,
