MINISTRY,DEPARTMENT,PRIORITY VACANT POSTS,POST NUMBER,SALARY SCALE,ANNUAL SALARY,RECRUITMENT STATUS,,,,,,,,,,Status 
MOH,Curative & Hospital Services ,General Services and Support Manager ,9407,PSL 4.1,2893000,Vacant ,,,,,,,,,,
MOTC,Tourism ,Product Development Officer - Shefa,5840,PSS 4.1,1400000,Recruitment Process,,,,,,,,,,
MOTC,Tourism ,Product Development Officer - Malampa,5860,PSS 4.1,1400000,Advertisement ,,,,,,,,,,
MOTC,Tourism ,Manager Tourism Development - Torba,5819,PSS 4.4,1597000,Vacant ,,,,,,,,,,
MOTC,Industry ,Research & Product Development Officer,5685,PSS 4.1,1400000,Recruitment Process,,,,,,,,,,
MOTC,Industry ,Industry Development Officer - Malampa,5675,PSS 4.1,1400000,Recruitment Process,,,,,,,,,,
MOTC,Industry ,Industry Development Officer - Malampa,5690,PSS 4.1,1400000,Vacant ,,,,,,,,,,
MOTC,Industry ,Driver/Logistics,5684,PSS 2.1,1015000,Recruitment Process,,,,,,,,,,
MOTC,CSU,Manager Finance,5507,PSS 6.1,2577000,Vacant ,,,,,,,,,,
MOTC,CSU,Senior Administration Officer,5513,PSS 5.1,1989000,Vacant ,,,,,,,,,,
MOTC,CSU,"Senior Policy, Planning & Coordination  - Industry",5509,PSS 5.1,1989000,Recruitment Process,,,,,,,,,,
MOTC,CSU,"Senior Policy, Planning & Coordination  - Tourism",5511,PSS 5.1,1989000,Vacant ,,,,,,,,,,
MOTC,VAMU,Manager Trade,5514,PSS 6.1,2577000,Vacant ,,,,,,,,,,
MOTC,VAMU,Ecommerce Officer,5531,PSS 4.1,1400000,Vacant ,,,,,,,,,,
MOTC,VAMU,Senior Trade Analyst,5526,PSS 5.1,1989000,Vacant ,,,,,,,,,,
MOTC,OCBDS,Senior Audit Officer,5727,PSS 5.1,1989000,Vacant ,,,,,,,,,,
MOTC,OCBDS,Senior Regulation Officer ,5715,PSS 5.1,1989000,Vacant ,,,,,,,,,,
MOTC,OCBDS,Senior Complaint & Investigation Officer,5717,PSS 5.1,1989000,Vacant ,,,,,,,,,,
MOTC,OCBDS,Complaint and Dispute Officer,5723,PSS 4.1,1400000,Vacant ,,,,,,,,,,
MOTC,OCBDS,Senior Quality & Assurance Officer,5718,PSS 5.1,1989000,Vacant ,,,,,,,,,,
MOTC,OCBDS,Senior Malampa Provincial Officer,5739,PSS 5.1,1989000,Vacant ,,,,,,,,,,
MOTC,OCBDS,Compliance & Audit Officer - Malampa,5731,PSS 4.1,1400000,Vacant ,,,,,,,,,,
MOTC,OCBDS,Business Development Officer - Malampa,5745,PSS 4.1,1400000,Vacant ,,,,,,,,,,
MOTC,OCBDS,Senior Tafea Provincial Officer,5737,PSS 5.1,1989000,Vacant ,,,,,,,,,,
MOTC,OCBDS,Compliance & Audit Officer - Tafea,5729,PSS 4.1,1400000,Vacant ,,,,,,,,,,
MOTC,OCBDS,Compliance & Audit Officer - Torba,5734,PSS 4.1,1400000,Vacant ,,,,,,,,,,
MOTC,OCBDS,Senior Shefa Provincial Officer,5738,PSS 5.1,1989000,Vacant ,,,,,,,,,,
MOTC,OCBDS,Senior Penama Provincial Officer,5740,PSS 5.1,1989000,Vacant ,,,,,,,,,,
MOTC,OCBDS,Business Development Officer - Penama,5746,PSS 4.1,1400000,Vacant ,,,,,,,,,,
MOTC,OCBDS,Compliance & Audit Officer - Penama,5732,PSS 4.1,1400000,Vacant ,,,,,,,,,,
